x_pressure, y_pressure,x_void_fraction,y_void_fraction
0.003558719,12017391.3,0.088112363,0.035284626
0.09252669,10278260.87,0.18830945,0.05697385
0.066429419,11228985.51,0.313310233,0.13404589
0.104389087,10243478.26,0.356259157,0.219848985
0.141162515,10115942.03,0.401301037,0.24570504
0.191577699,10000000,0.428000046,0.317979863
0.289442467,9652173.913,0.446531079,0.369625195
0.359430605,9292753.623,0.456065816,0.408074567
0.404507711,8933333.333,0.460177047,0.490504036
0.431198102,8631884.058,0.464358862,0.559765638
0.448398577,8226086.957,,
0.454922894,8017391.304,,
0.460854093,7634782.609,,
0.464412811,7402898.551,,
0.465599051,7147826.087,,
